title,runtime,des,date,genre,cast,director,vote,gross,rating
Brockmire,30,    A famed major league baseball announcer who suffers an embarrassing and very public meltdown live on the air after discovering his beloved wife's serial infidelity decides to reclaim his career and love life in a small town a decade later.,2017,"Comedy, Drama, Sport            ","Hank Azaria, Tyrel Jackson Williams, Amanda Peet, Hemky Madera",,3524,,8.0
Speechless,30,    The family of a special-needs teen is good at dealing with the challenges he faces - and excellent at creating new ones.,2019,Comedy            ,"Minnie Driver, John Ross Bowie, Cedric Yarbrough, Mason Cook",,6560,,7.6
Anger Management,22,    Divorced former baseball player Charlie Goodson is now an anger management therapist. He has a teenage daughter with obsessive-compulsive disorder and he has a purely sexual relationship ...                See full summary »,2014,"Comedy, Romance            ","Shawnee Smith, Charlie Sheen, Noureen DeWulf, Michael Arden",,29246,,6.6
Naked,96,"    Nervous about finally getting married, a guy is forced to relive the same nerve-wracking hours over and over again until he gets things right on his wedding day.",2017,"Comedy, Fantasy, Romance            ","Marlon Wayans, Regina Hall, Dennis Haysbert, J.T. Jackson",Michael Tiddes,15415,,5.4
Monster Trucks,104,    A young man working at a small town junkyard discovers and befriends a creature which feeds on oil being sought by a fracking company.,2016,"Action, Adventure, Comedy            ","Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",Chris Wedge,14204,$33.37M,5.6
Magic for Humans,23,    Justin Willman preforms magic tricks on the street.,2018,Comedy            ,"Justin Willman, Jillian Sipkins, Erika Anderson, Marcia Arvidsson",,2227,,7.1
Portlandia,22,"    A sketch-comedy series that parodies life in Portland, Oregon.",2018,Comedy            ,"Fred Armisen, Carrie Brownstein, Kyle MacLachlan, Sam Adams",,17055,,7.8
Tourism Australia: Dundee - The Son of a Legend Returns Home,3,"    Brian Dundee tries to locate his father, Crocodile Dundee, in the Australian Outback.",2018,"Short, Comedy            ","Luke Bracey, Chris Carr, Russell Crowe, Isla Fisher",Steve Rogers,1267,,8.1
The Last Dragonslayer,101,"    In a fantasy world where magic is being superseded by technology, an orphaned teen discovers her destiny to become a dragonslayer.",2016,"Adventure, Comedy, Fantasy            ","Adeel Akhtar, Matt Berry, Danielle Bjelic, John Bradley",Jamie Magnus Stone,1213,,5.5
Just in Time for Christmas,96,    A psychology professor's offered her dream job at Yale incl. her thesis published and is proposed to by her BFF on the same day. She gets a glimpse of her life 3 years in a future where she said yes to the job and no to the BFF's proposal.,2015,"Comedy, Romance            ","Eloise Mumford, Michael Stahl-David, Christopher Lloyd, William Shatner",Sean McNamara,1730,,6.5
White Gold,30,"    The story of a double-glazing showroom in Essex in 1983, led by charismatic salesman Vincent who is smart, handsome and cocksure, He will happily break the rules if it guarantees a sale.",2017,Comedy            ,"Ed Westwick, James Buckley, Joe Thomas, Linzey Cocker",,7624,,7.4
Fright Night,106,"    When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?",2011,"Comedy, Horror            ","Anton Yelchin, Colin Farrell, David Tennant, Toni Collette",Craig Gillespie,96192,$18.30M,6.3
Ladies in Black,109,"    Adapted from the bestselling novel by Madeleine St John, Ladies in Black is an alluring and tender-hearted comedy drama about the lives of a group of department store employees in 1959 Sydney.",2018,"Comedy, Drama, Romance            ","Julia Ormond, Angourie Rice, Rachael Taylor, Alison McGirr",Bruce Beresford,3906,,6.7
30 Minutes or Less,83,"    Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",2011,"Action, Comedy, Crime            ","Jesse Eisenberg, Danny McBride, Nick Swardson, Aziz Ansari",Ruben Fleischer,89497,$37.05M,6.1
A Hologram for the King,98,    A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,2016,"Comedy, Drama, Romance            ","Tom Hanks, Omar Elba, Sarita Choudhury, Ben Whishaw",Tom Tykwer,37564,$4.20M,6.1
Frozen Fever,8,"    On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.",2015,"Animation, Short, Adventure            ","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad","Chris Buck, Jennifer Lee",13077,,6.9
Claws,45,    A look at the life and crimes of five women who work at a Florida nail salon.,2017,"Comedy, Crime, Drama            ","Niecy Nash, Carrie Preston, Judy Reyes, Karrueche Tran",,4812,,7.3
