title,runtime,des,date,genre,cast,director,vote,gross,rating
The Bad Batch,118,"    In a desert dystopia, a young woman is kidnapped by cannibals.",2016,"Drama, Horror, Romance            ","Suki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves",Ana Lily Amirpour,22813,$0.18M,5.3
The Big Sick,120,"    Pakistan-born comedian Kumail Nanjiani and grad student Emily Gardner fall in love but struggle as their cultures clash. When Emily contracts a mysterious illness, Kumail finds himself forced to face her feisty parents, his family's expectations, and his true feelings.",2017,"Comedy, Drama, Romance            ","Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano",Michael Showalter,109965,$42.87M,7.6
Midnight in Paris,94,"    While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",2011,"Comedy, Fantasy, Romance            ","Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",Woody Allen,365608,$56.82M,7.7
Blended,117,"    After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.",2014,"Comedy, Romance            ","Adam Sandler, Drew Barrymore, Wendi McLendon-Covey, Kevin Nealon",Frank Coraci,110214,$46.29M,6.5
Moonrise Kingdom,94,"    A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",2012,"Comedy, Drama, Romance            ","Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",Wes Anderson,299698,$45.51M,7.8
Nashville,43,"    Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee.",2018,"Drama, Music, Romance            ","Hayden Panettiere, Clare Bowen, Charles Esten, Jonathan Jackson",,22174,,7.7
"Love, Rosie",102,"    Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",2014,"Comedy, Romance            ","Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone",Christian Ditter,110568,$0.01M,7.2
The Old Man & the Gun,93,    Based on the true story of Forrest Tucker and his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.,2018,"Biography, Comedy, Crime            ","Robert Redford, Casey Affleck, Sissy Spacek, Danny Glover",David Lowery,33943,$11.28M,6.7
The Fault in Our Stars,126,    Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,2014,"Drama, Romance            ","Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",Josh Boone,324739,$124.87M,7.7
Red Joan,101,"    The story of Joan Stanley (Dame Judi Dench), who was exposed as the K.G.B.'s longest-serving British spy.",2018,"Biography, Drama, History            ","Judi Dench, Sophie Cookson, Stephen Campbell Moore, Tom Hughes",Trevor Nunn,5754,$1.58M,6.3
