title,runtime,des,date,rating,genre
Wreck-It Ralph,101,"    A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",2012,7.7,"Animation, Adventure, Comedy            "
Santa Clarita Diet,30,"    Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn.",2019,7.8,"Comedy, Horror            "
Disenchantment,30,"    Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.",2018,7.2,"Animation, Action, Adventure            "
The Young Offenders,30,"    Coming-of-age drama about lovable rogues Conor and Jock as they navigate their awkward teenage years, hatching plans and adventures to help distract from their tough home lives and their inability to stay out of trouble at school.",2018,8.1,Comedy            
The Legend of Korra,23,    Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.,2014,8.5,"Animation, Action, Adventure            "
Just Go with It,117,"    On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",2011,6.4,"Comedy, Romance            "
The Neighborhood,30,    A friendly guy from the Midwest tries to fit in in a tough L.A. neighborhood.,2018,6.3,Comedy            
We're the Millers,110,    A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.,2013,7.0,"Comedy, Crime            "
The Escort,88,"    Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute.",2016,6.0,"Comedy, Drama, Romance            "
Good Witch,48,"    ""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.",2015,7.3,"Comedy, Drama, Fantasy            "
The Man from U.N.C.L.E.,116,"    In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",2015,7.3,"Action, Adventure, Comedy            "
The Upside,126,    A comedic look at the relationship between a wealthy man with quadriplegia and an unemployed man with a criminal record who's hired to help him.,2017,6.9,"Comedy, Drama            "
Rock of Ages,123,    A small town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.,2012,5.9,"Comedy, Drama, Musical            "
Chef,114,"    A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.",2014,7.3,"Adventure, Comedy, Drama            "
Inherent Vice,148,"    In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",2014,6.7,"Comedy, Crime, Drama            "
Girls,28,    A comedy about the experiences of a group of girls in their early 20s.,2017,7.3,"Comedy, Drama            "
Logan Lucky,118,    Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.,2017,7.0,"Comedy, Crime, Drama            "
"Love, Rosie",102,"    Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies.",2014,7.2,"Comedy, Romance            "
Last Week Tonight with John Oliver,30,    Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.,2014,8.9,"Comedy, News, Talk-Show            "
A Christmas Prince,92,"    When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",2017,5.7,"Comedy, Romance            "
Captain Fantastic,118,"    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",2016,7.9,"Comedy, Drama            "
Daddy's Home 2,100,"    Having finally gotten used to each other's existence, Brad and Dusty must now deal with their intrusive fathers during the holidays.",2017,6.0,Comedy            
Ghostbusters,116,"    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",2016,5.2,"Action, Comedy, Fantasy            "
Into the Woods,125,    A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,2014,5.9,"Adventure, Comedy, Drama            "
