title,runtime,des,date,genre,cast,director,vote,gross,rating
Waiting for the Storm,87,"A family's peaceful evening takes a horrifying turn when three men in masks and hoods break into their house and take them hostage. When they offer the home invaders to take anything they want, one of them reveals the true reason their house was chosen.",2017,"Action, Crime, Drama            ","Manuel Garcia, William Johnson-Ofoegbu, Jeremy Hayden, George Miller",Rogelio Salinas III,54,,5.4
Chrysaline,11,"    What does it take to create a super villain? When a mysterious old man witnesses her powers, Charlie is forced to find out.",2016,"Short, Action, Drama            ","Seanna Ladd, Christina Robinson, Lucas Millhouse, Antonio Lexerot",Taunya Gren,6,,8.2
Strong Artificial Intelligence,84,    An incredible movie beyond artificial intelligence. Riccardo builds and educates his artificial intelligence with all his strength till his artificial intelligence turns itself autonomously into a strong artificial intelligence.,2018,"Action, Sci-Fi            ",Riccardo Vecchione,Riccardo Vecchione,18,,7.1
Marty: A Wild West Neverland,17,Marty - A Wild West Neverland is an adventure-fantasy set in a world inhabited by only kids. Marty and Dee cross paths with the ruthless One-Eyed Johnny and the Krimson Kids where they experience the harsh realities of tyranny and violence in the West.,2016,"Short, Action, Adventure            ","Reid Miller, Jonah Hwang, Shae Smolik, Alexa Schmidt",Vu Hoang,24,,7.1
Wrecker,110,"    A construction worker seeking revenge, moonlights as a vigilante, and thwarts the completion of a sizable drug deal. A malevolent cartel boss kidnaps the workers wife, only to find he has underestimated the tenacity of his new adversary.",2010,Action            ,"Anthony Aflague, Ashley Becciani, Darryl Bridges, Darryl Bridges",Bryan Petersen,0,,0.0
Rise of the Empire,0,"Outraged by crushing oppression and mysterious deaths, freedom fighter Nyla Tardun weighs the personal consequences of leading a rag-tag band of would-be-Rebels against the genocidal appetite of an insane Empress and her vicious personal assassin.",2016,"Action, Adventure, Sci-Fi            ","Tatum Miranda, William Romeo, Gustavo Cardozo",Richard Lowry,7,,5.4
The Most Dangerous Game,63,"The Most Dangerous Game is a near full length film (1 hour long) brought to you by Jaca Film and LegEdit. The Most Dangerous Game is about a man by the name of Renegade (Andrew Ringate) along with his culprits Ed Hugo (Collin Dahlman), Sky Masterson (Elijah Robin O'Sullivan), and Shane Weldon (Jack Munkberg) are on the loose looking for pieces to a project they began years ago, and its up to Mark Tamplen (Andrew Legatt), Kenith Mason (Carter Luedtke), Xia Lin (Ethan Her) and Owens (Daniel Mayerchak) to catch them all before they find the last pieces. If both sides do not comply, killing is the next option.",2016,Action            ,"RaeAnn Athman, Collin Dahlman, Caitlin Daly, Ethan Her",Andrew Legatt,11,,5.5
Deliver Us The Moon: Fortuna,0,    A lone astronaut is sent to the moon on a critical mission to save humanity from extinction.,2018,"Action, Adventure, Sci-Fi            ","Jeremiah Fleming, Nola Klop, Leonoor Koster, Ariel Lichtenstein",Koen Deetman,15,,7.3
The Survival Games,95,    When a mike and his friends got abducted while on camping in a forest in order to retrieve a tracking device by bunch of crooks which they misplaced somewhere in the jungle.,2012,Action            ,"Konrad Case, Robin Zamora, Mischa McCortney, Stephanie Barone",Mike Corkle,246,,3.4
Undercover,0,Add a Plot,2016,"Action, Crime, Thriller            ","Weston Cage Coppola, Michael Emery, Kenyon Glover, Marwan Granville",,19,,8.5
