title,runtime,des,date,genre,cast,director,vote,gross,rating
Ice Age: Continental Drift,88,"    Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world.",2012,"Animation, Adventure, Comedy            ","Ray Romano, Denis Leary, John Leguizamo, Aziz Ansari","Directors:Steve Martino, Mike Thurmeier",180672,$161.32M,6.6
Teen Titans Go!,10,"    Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?",2013,"Animation, Short, Action            ","Scott Menville, Hynden Walch, Khary Payton, Greg Cipes",,15700,,5.2
Food Wars: Shokugeki no Soma,24,"    Meet Souma, he is the son of the owner of a small eatery in Japan. For his age, Souma is a very talented person able to easily come up with new dishes; sometimes these dishes are some ...                See full summary »",2015,"Animation, Comedy, Drama            ","Yoshitsugu Matsuoka, Minami Takahashi, Maaya Uchida, Ai Kayano",,4258,,8.3
Ice Age: Collision Course,94,"    When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",2016,"Animation, Adventure, Comedy            ","Ray Romano, Denis Leary, John Leguizamo, Chris Wedge","Directors:Mike Thurmeier, Galen T. Chu",51288,$64.06M,5.7
My Little Pony: Friendship Is Magic,22,"    After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends.",2019,"Animation, Adventure, Comedy            ","Ashleigh Ball, Tara Strong, Tabitha St. Germain, Andrea Libman",,18265,,7.6
We Bare Bears,30,    Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.,2014,"Animation, Short, Adventure            ","Eric Edelstein, Demetri Martin, Bobby Moynihan, Keith Ferguson",,9563,,7.9
The Lion Guard,30,"    Kion, the son of Simba, leads his friends known as the Lion Guard to protect the Pride Lands.",2016,"Animation, Short, Action            ","Max Charles, Joshua Rush, Diamond White, Atticus Shaffer",,1305,,6.4
"Ruben Brandt, Collector",96,"    Four expert thieves attempt to steal every famous artwork that is haunting their mutual psychotherapist. A detective attempts to find out who the ""Collector"" is.",2018,"Animation, Action, Crime            ","Iván Kamarás, Gabriella Hámori, Zalán Makranczi, Csaba Márton",Milorad Krstic,3829,$0.12M,7.5
Rio 2,101,"    It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets his father-in-law.",2014,"Animation, Adventure, Comedy            ","Jesse Eisenberg, Anne Hathaway, Jemaine Clement, Andy Garcia",Carlos Saldanha,74420,$131.54M,6.3
Despicable Me 2,98,"    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",2013,"Animation, Adventure, Comedy            ","Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove","Directors:Pierre Coffin, Chris Renaud",352509,$368.06M,7.3
Trollhunters: Tales of Arcadia,23,"    An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls.",2018,"Animation, Action, Adventure            ","Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer",,11157,,8.5
Puppy Dog Pals,24,"    Fun-loving pug puppies, brothers Bingo and Rolly, have thrill-seeking appetites that take them on exhilarating adventures in their neighborhood and around the globe.",2017,"Animation, Comedy, Family            ","Issac Ryan Brown, Sam Lavagnino, Harland Williams, Jessica DiCicco",,561,,7.1
Paradise PD,28,"    Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",2018,"Animation, Comedy, Crime            ","Sarah Chalke, David Herman, Tom Kenny, Kyle Kinane",,9380,,7.0
Anomalisa,90,    A man crippled by the mundanity of his life experiences something out of the ordinary.,2015,"Animation, Comedy, Drama            ","David Thewlis, Jennifer Jason Leigh, Tom Noonan","Directors:Duke Johnson, Charlie Kaufman",60284,$3.76M,7.3
