,pred
304,7.4049724294822274
305,7.667786257021622
306,6.849708926399369
307,7.061909803943507
308,5.767833434607573
309,6.849708926399369
310,5.46500339004858
311,6.094569571650195
312,7.230604563925112
313,6.82962828396167
314,6.680325091688599
315,7.313320155392579
316,7.31357320796084
317,7.098586480265457
318,7.606488366742668
319,7.231241851597573
320,7.304845977868142
321,7.361979400380014
322,6.627930386016306
323,6.820473997098918
324,7.583040178505743
325,7.425107432685642
326,7.478114375818106
327,6.3194636014148475
328,5.961242448924362
329,7.472896171157003
330,6.784536337310526
331,7.106758722639762
332,6.96742492785899
333,7.36239336497587
334,6.818746909878574
335,7.705963064565946
336,6.849708926399369
337,7.393328706546282
338,6.931988682564951
339,7.519707200339333
340,7.0527896516349236
341,7.1222941531738595
342,6.570881168188487
343,7.030951827162677
344,7.2695083883946845
345,7.398668323554461
346,7.045672998670421
347,7.172157399336046
348,7.36910449805319
349,6.101352922681066
350,7.234896850755415
351,7.452226152334081
352,7.0015910685576355
353,7.372706657592514
354,6.941624511319529
355,6.8916754752907625
356,7.274196465322445
357,7.289283665706511
358,6.691863328442284
359,7.114788788645679
360,6.812806386697017
361,7.080669695494765
362,6.895716464127544
363,6.678307777591037
364,6.821386355648265
365,6.777581069408974
366,6.74409731150912
367,7.164124820527311
368,6.95090065084627
369,7.473749802479607
370,7.592065976726807
371,5.4425071489169365
372,7.012350556730825
373,6.728406612405789
374,6.69149607746572
375,6.90300969639506
376,7.370845363790876
377,7.596103556099255
378,7.206344534663445
379,7.525364858902286
380,6.065295633182883
381,6.6367265948022975
382,7.01722045741629
383,7.320261703177242
384,5.795253755840634
385,7.64463567550449
386,7.612689379040084
